smiles,Clostridium sporogenes ATCC15579
O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1,1
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,0
CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,0
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)[O-],0
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,0
O=C1NCC2(CC[NH+](CCc3ccccc3)CC2)O1,0
CC(C)(C(=O)[O-])c1ccc(C(O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0
CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,0
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0
C[NH2+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1
OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1,0
COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2,0
Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1,0
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)NC3CCCCC3)cc2)cn1,0
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0
NC(N)=[NH+]C(=O)[CH-]c1c(Cl)cccc1Cl,0
O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0
C[NH+]1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,0
Cc1ccc(NC(=O)c2ccc(CN3CC[NH+](C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0
CC1Cc2ccccc2N1[N-]C(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,0
